ID,PartnershipName,PoliceIDs,Total,area,chaired,coordinated,activities,Community,Frontline,Intel,Enforcement,Commissioning,Supply,Referrals,Survivor,Monitoring,Other,,,,,,
1,Cheshire Anti-Slavery Network,cheshire,1,Subregional,INDEPENDENT,INDEPENDENT,"Community awareness-raising, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Survivor support, Monitoring and analysis of progress",y,,y,y,y,,,y,y,,,,,,,
2,Warrington Anti-Slavery Network,cheshire,1,Local,LA (TT),LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Supply chains analysis, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress",y,y,y,y,y,y,y,y,y,,,,,,,
3,Not yet defined,lancashire,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement",y,y,y,y,,,,,,,,,,,,
4,Dorset Anti-Slavery Partnership,dorset,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress",y,y,y,y,,,y,y,y,,,,,,,
5,Derby and Derbyshire Modern Slavery Partnership,derbyshire,1,Subregional,LA (TT),LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress",y,y,y,y,y,,y,y,y,,,,,,,
7,Hampshire & Isle Of Wight Modern Slavery Partnership,hampshire,1,Subregional,OPCC,OPCC,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Survivor support, Monitoring and analysis of progress",y,y,y,y,y,,,y,y,,,,,,,
8,South Yorkshire Anti Slavery Practitoners Group,southyorkshire,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Monitoring and analysis of progress",y,y,y,y,,,y,,y,,,,,,,
10,Staffordshire Anti-Slavery Partnership,staffordshire,1,Subregional,OPCC,LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Monitoring and analysis of progress",y,y,y,y,y,,y,,y,,,,,,,
11,Hertfordshire Modern Slavery Steering Group,hertfordshire,1,Subregional,ROTATES,NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Survivor support",y,y,y,y,,,,,,,,,,,,
12,West Midlands Anti Slavery Network (WMASN),westmidlands,1,Regional,INDEPENDENT,INDEPENDENT,"Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Monitoring and analysis of progress, Other: Networking agencies",,,y,y,y,,y,,y,y,,,,,,
