ID,PartnershipName,PoliceIDs,Total,area,chaired,coordinated,activities
35,Avon and Somerset Anti-Slavery partnership,avonandsomerset,1,Subregional,POLICE,NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Survivor support, Supply chains analysis, Monitoring and analysis of progress"
59,Bedfordshire Against Modern Slavery,bedfordshire,1,Subregional,TBD,INDEPENDENT,"Community awareness-raising, Frontline staff training"
60,Bedfordshire Police MS&HT Partnership Development Group,bedfordshire,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Monitoring and analysis of progress"
83,Brighton and Hove Modern Slavery Group,sussex,1,Local,LA (TT),LA (TT),Monitoring and analysis of progress
37,Bristol based Op Breakthrough,avonandsomerset,1,Local,POLICE,POLICE,"Intelligence sharing, Planning for joint enforcement, Survivor support"
1,Cheshire Anti-Slavery Network,cheshire,1,Subregional,INDEPENDENT,INDEPENDENT,"Community awareness-raising, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Survivor support, Monitoring and analysis of progress"
68,Community Safety Partnerships,northumberland,1,Local,ROTATES,LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Supply chains analysis, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
5,Derby and Derbyshire Modern Slavery Partnership,derbyshire,1,Subregional,LA (TT),LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
45,Devon and Cornwall Anti-Slavery Partnership,devonandcornwall,1,Subregional,POLICE,NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
4,Dorset Anti-Slavery Partnership,dorset,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
28,East Midlands Anti-Human Trafficking Partnership meeting,derbyshire,1,Regional,LGA,LGA,"Community awareness-raising, Intelligence sharing, Survivor support"
28,East Midlands Anti-Human Trafficking Partnership meeting,leicestershire,1,Regional,LGA,LGA,"Community awareness-raising, Intelligence sharing, Survivor support"
28,East Midlands Anti-Human Trafficking Partnership meeting,lincolnshire,1,Regional,LGA,LGA,"Community awareness-raising, Intelligence sharing, Survivor support"
28,East Midlands Anti-Human Trafficking Partnership meeting,northamptonshire,1,Regional,LGA,LGA,"Community awareness-raising, Intelligence sharing, Survivor support"
28,East Midlands Anti-Human Trafficking Partnership meeting,nottinghamshire,1,Regional,LGA,LGA,"Community awareness-raising, Intelligence sharing, Survivor support"
40,Engagement Group on Human Trafficking,northernireland,1,Regional,GOVERNMENT,GOVERNMENT,"Community awareness-raising, Frontline staff training, Intelligence sharing, Survivor support, Monitoring and analysis of progress"
53,Fenland Partnership Taskforce,cambridgeshire,1,Local,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Supply chains analysis, Monitoring and analysis of progress"
80,Gatwick Modern Slavery Partnership,sussex,1,Local,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Survivor support, Monitoring and analysis of progress"
51,Gloucestershire Anti-Slavery Partnership,gloucestershire,1,Subregional,LA (TT),NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Survivor support, Monitoring and analysis of progress"
48,Greater Manchester Modern Slavery Coordination Unit,greatermanchester,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Supply chains analysis, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
49,Greater Manchester Modern Slavery Response Network,greatermanchester,1,Subregional,ROTATES,NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Supply chains analysis, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
7,Hampshire & Isle Of Wight Modern Slavery Partnership,hampshire,1,Subregional,OPCC,OPCC,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Survivor support, Monitoring and analysis of progress"
11,Hertfordshire Modern Slavery Partnership Steering Group,hertfordshire,1,Subregional,ROTATES,NGO,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Survivor support,Supply chains analysis,Monitoring and analysis of progress"
46,Human Trafficking & Modern Slavery London Working Group (LWG),metropolitan,1,Subregional,NGO,NGO,Community awareness-raising
66,Human Trafficking and Modern Slavery Meeting,merseyside,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Co-ordinating referrals, Monitoring and analysis of progress"
29,Humber Modern Slavery Partnership,humberside,1,Subregional,LA (TT),LA (TT),"Community awareness-raising, Frontline staff training, Intelligence sharing, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
39,Joint Agency Cross Border Task Forcce ,northernireland,1,Regional,POLICE,POLICE,"Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Monitoring and analysis of progress"
34,Kent and Essex Charities and Volunteer Sector Anti Slavery sub-group,essex,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Planning for joint enforcement, Survivor support"
34,Kent and Essex Charities and Volunteer Sector Anti Slavery sub-group,kent,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Planning for joint enforcement, Survivor support"
33,Kent and Essex Regional Anti Slavery sub-group,essex,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
33,Kent and Essex Regional Anti Slavery sub-group,kent,1,Subregional,POLICE,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Joint commissioning of services, Co-ordinating referrals, Survivor support, Monitoring and analysis of progress"
31,Kent and Essex Strategic Leadership Anti Slavery Group,essex,1,Subregional,NGO,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Supply chains analysis, Co-ordinating referrals, Monitoring and analysis of progress"
31,Kent and Essex Strategic Leadership Anti Slavery Group,kent,1,Subregional,NGO,POLICE,"Community awareness-raising, Frontline staff training, Intelligence sharing, Planning for joint enforcement, Supply chains analysis, Co-ordinating referrals, Monitoring and analysis of progress"
32,Kent and Essex Tactical Anti-Slavery Sub group ,essex,1,Subregional,POLICE,POLICE,"Frontline staff training, Intelligence sharing, Planning for joint enforcement, Monitoring and analysis of progress"
