id,title
avonandsomerset,Avon and Somerset
bedfordshire,Bedfordshire
cambridgeshire,Cambridgeshire
cheshire,Cheshire
cityoflondon,City of London
cleveland,Cleveland
cumbria,Cumbria
derbyshire,Derbyshire
devonandcornwall,Devon and Cornwall
dorset,Dorset
durham,Durham
dyfed-powys,Dyfed-Powys
essex,Essex
gloucestershire,Gloucestershire
greatermanchester,Greater Manchester
gwent,Gwent
hampshire,Hampshire
hertfordshire,Hertfordshire
humberside,Humberside
kent,Kent
lancashire,Lancashire
leicestershire,Leicestershire
lincolnshire,Lincolnshire
merseyside,Merseyside
metropolitan,Metropolitan
norfolk,Norfolk
northamptonshire,Northamptonshire
northernireland,Northern Ireland
northumberland,Northumberland
northwales,North Wales
northyorkshire,North Yorkshire
nottinghamshire,Nottinghamshire
scotland,Scotland
southwales,South Wales
southyorkshire,South Yorkshire
staffordshire,Staffordshire
suffolk,Suffolk
surrey,Surrey
sussex,Sussex
thamesvalley,Thames Valley
warwickshire,Warwickshire
westmercia,West Mercia
westmidlands,West Midlands
westyorkshire,West Yorkshire
wiltshire,Wiltshire
